event_date_time,event_id,away_team_name,day_of_week,last_updated_time,recent_sell_price,recent_buy_price,08/13/18,08/12/18,08/11/18,08/10/18,08/09/18,08/08/18,08/07/18,08/06/18,07/30/18,07/23/18,07/14/18,06/29/18,06/14/18,tickets,sales
2018-08-23 19:05,103257521,Cincinnati Reds,thursday ,2018-08-13 04:01,28.80,40.90,28 / 40,28 / 40,27 / 38,27 / 38,27 / 38,26 / 37,26 / 37,26 / 37,25 / 36,24 / 35,24 / 34,,,"<a href=""https://www.stubhub.com/event/103257521?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257521&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-24 13:20,103257523,Cincinnati Reds,friday   ,2018-08-13 04:01,44.09,61.29,44 / 61,43 / 59,42 / 59,43 / 60,42 / 59,40 / 56,38 / 54,42 / 58,41 / 58,40 / 56,40 / 56,,,"<a href=""https://www.stubhub.com/event/103257523?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257523&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-25 13:20,103257539,Cincinnati Reds,saturday ,2018-08-13 04:01,72.00,98.50,72 / 98,63 / 86,71 / 97,68 / 94,68 / 93,72 / 98,70 / 96,63 / 86,58 / 80,62 / 85,63 / 86,,,"<a href=""https://www.stubhub.com/event/103257539?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257539&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-26 13:20,103257541,Cincinnati Reds,sunday   ,2018-08-13 04:02,36.00,50.50,36 / 50,39 / 55,40 / 55,40 / 56,39 / 55,40 / 55,38 / 53,23 / 34,37 / 52,35 / 49,36 / 50,,,"<a href=""https://www.stubhub.com/event/103257541?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257541&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-14 13:20,103257525,Cincinnati Reds,friday   ,2018-08-13 04:13,43.19,60.09,43 / 60,43 / 60,42 / 59,42 / 59,42 / 59,42 / 59,43 / 60,36 / 50,43 / 60,42 / 58,40 / 55,,,"<a href=""https://www.stubhub.com/event/103257525?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257525&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-15 15:05,103257543,Cincinnati Reds,saturday ,2018-08-13 04:15,62.55,85.90,63 / 86,63 / 86,63 / 86,62 / 85,60 / 83,60 / 83,61 / 84,59 / 82,52 / 72,56 / 77,53 / 73,,,"<a href=""https://www.stubhub.com/event/103257543?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257543&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-16 13:20,103257545,Cincinnati Reds,sunday   ,2018-08-13 04:05,40.50,56.50,40 / 56,40 / 56,40 / 56,41 / 58,40 / 56,40 / 56,40 / 56,40 / 56,40 / 55,37 / 51,35 / 49,,,"<a href=""https://www.stubhub.com/event/103257545?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257545&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-14 13:20,103257347,Milwaukee Brewers,tuesday  ,2018-08-13 04:00,45.00,62.50,27 / 38,42 / 59,40 / 56,44 / 61,42 / 59,40 / 56,40 / 55,38 / 53,40 / 55,36 / 50,40 / 56,,,"<a href=""https://www.stubhub.com/event/103257347?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257347&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-15 13:20,103257348,Milwaukee Brewers,wednesday,2018-08-13 04:00,39.59,55.29,36 / 50,36 / 50,38 / 53,40 / 55,36 / 50,35 / 49,38 / 53,37 / 52,40 / 55,41 / 58,40 / 56,,,"<a href=""https://www.stubhub.com/event/103257348?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257348&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-10 19:05,103257349,Milwaukee Brewers,monday   ,2018-08-13 04:06,26.98,38.48,27 / 38,27 / 38,27 / 38,26 / 37,25 / 36,25 / 36,24 / 35,24 / 35,22 / 32,22 / 32,21 / 30,,,"<a href=""https://www.stubhub.com/event/103257349?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257349&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-11 19:05,103257350,Milwaukee Brewers,tuesday  ,2018-08-13 04:08,23.40,33.70,23 / 34,23 / 34,23 / 34,22 / 32,22 / 32,22 / 32,22 / 32,22 / 31,22 / 32,22 / 32,21 / 30,,,"<a href=""https://www.stubhub.com/event/103257350?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257350&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-12 19:05,103257351,Milwaukee Brewers,wednesday,2018-08-13 04:11,26.95,38.43,27 / 38,26 / 37,26 / 37,27 / 38,26 / 37,27 / 38,27 / 38,27 / 38,27 / 38,22 / 32,22 / 32,,,"<a href=""https://www.stubhub.com/event/103257351?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257351&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-27 19:05,103257458,New York Mets,monday   ,2018-08-13 04:02,21.60,31.30,22 / 31,22 / 31,21 / 30,21 / 30,19 / 28,17 / 25,20 / 29,20 / 29,18 / 26,17 / 25,20 / 29,,,"<a href=""https://www.stubhub.com/event/103257458?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257458&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-28 19:05,103257460,New York Mets,tuesday  ,2018-08-13 04:02,19.79,28.89,20 / 29,19 / 28,20 / 29,21 / 30,18 / 27,19 / 28,19 / 28,20 / 29,19 / 28,16 / 24,18 / 26,,,"<a href=""https://www.stubhub.com/event/103257460?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257460&external=true&page=true"" target=""_blank"">sales</a>"
2018-08-29 13:20,103257463,New York Mets,wednesday,2018-08-13 04:03,21.59,31.29,22 / 31,22 / 31,22 / 31,22 / 32,18 / 26,18 / 26,14 / 20,14 / 20,22 / 31,20 / 29,21 / 30,,,"<a href=""https://www.stubhub.com/event/103257463?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257463&external=true&page=true"" target=""_blank"">sales</a>"
2018-09-24 19:05,103257503,Pittsburgh Pirates,monday   ,2018-08-13 04:05,16.19,24.09,16 / 24,16 / 24,16 / 24,15 / 23,15 / 23,14 / 20,16 / 24,16 / 24,16 / 24,17 / 25,17 / 25,,,"<a href=""https://www.stubhub.com/event/103257503?&sid=117035&qqd=1"" target=""_blank"">tickets</a>","<a href=""https://sell.stubhub.com/simweb/sim/services/priceanalysis?eventId=103257503&external=true&page=true"" target=""_blank"">sales</a>"
